symbol,value
†,0
€,1
–,2
˜,3
‚,4
ž,5
—,6
‡,7
‹,8
€,9
Ÿ,10
‡,11
˜,12
„,13
Ž,14
‘,15
Ž,16
Ž,17
„,18
‹,19
‡,20
–,21
”,22
š,23
Ÿ,24
•,25
Ÿ,26
†,27
ƒ,28
™,29
Œ,30
œ,31
–,32
‹,33
›,34
–,35
…,36
š,37
œ,38
–,39
‘,40
‹,41
Š,42
›,43
™,44
†,45
…,46
›,47
’,48
‘,49
–,50
—,51
–,52
ƒ,53
–,54
‰,55
—,56
“,57
Ž,58
”,59
Œ,60
Œ,61
“,62
ˆ,63
„,64
›,65
›,66
™,67
€,68
Š,69
‚,70
‰,71
’,72
†,73
‚,74
‚,75
•,76
ž,77
‡,78
–,79
”,80
ˆ,81
„,82
Ÿ,83
€,84
…,85
Œ,86
•,87
‰,88
‡,89
œ,90
–,91
˜,92
•,93
ˆ,94
“,95
Œ,96
Ž,97
œ,98
‰,99
“,100
š,101
—,102
’,103
‰,104
Ÿ,105
“,106
—,107
‚,108
‡,109
Ÿ,110
…,111
ž,112
„,113
’,114
‹,115
Ž,116
‹,117
‹,118
ˆ,119
–,120
…,121
™,122
ž,123
‹,124
›,125
š,126
“,127
–,128
Ž,129
œ,130
†,131
›,132
‘,133
˜,134
‡,135
–,136
“,137
—,138
†,139
†,140
€,141
“,142
—,143
€,144
†,145
›,146
˜,147
Ž,148
•,149
Ÿ,150
Ž,151
…,152
€,153
–,154
‡,155
Š,156
†,157
œ,158
Š,159
˜,160
‰,161
‹,162
„,163
–,164
•,165
‰,166
ž,167
ˆ,168
‡,169
–,170
‹,171
œ,172
†,173
’,174
˜,175
”,176
ˆ,177
ˆ,178
–,179
ƒ,180
˜,181
€,182
…,183
•,184
„,185
”,186
‹,187
†,188
œ,189
–,190
“,191
Œ,192
€,193
‰,194
—,195
ƒ,196
‘,197
œ,198
”,199
›,200
œ,201
„,202
‘,203
ƒ,204
€,205
‘,206
ƒ,207
€,208
ˆ,209
•,210
Œ,211
—,212
‘,213
Ÿ,214
†,215
ˆ,216
œ,217
…,218
‚,219
Š,220
†,221
š,222
…,223
Ž,224
„,225
”,226
ž,227
€,228
ˆ,229
™,230
š,231
‹,232
–,233
Ž,234
Œ,235
‘,236
—,237
„,238
œ,239
•,240
ž,241
†,242
—,243
Œ,244
˜,245
†,246
•,247
—,248
€,249
›,250
œ,251
‹,252
ž,253
‘,254
›,255
Š,256
•,257
•,258
‡,259
€,260
™,261
Ÿ,262
‚,263
‡,264
‚,265
ž,266
™,267
Š,268
•,269
”,270
›,271
€,272
‚,273
”,274
›,275
…,276
‚,277
„,278
€,279
’,280
‚,281
ˆ,282
˜,283
…,284
€,285
†,286
ˆ,287
Ž,288
•,289
Ÿ,290
…,291
–,292
…,293
€,294
“,295
‹,296
—,297
™,298
Š,299
„,300
Š,301
†,302
™,303
•,304
ž,305
†,306
‡,307
˜,308
ˆ,309
‰,310
“,311
–,312
Š,313
Ž,314
—,315
ƒ,316
Š,317
„,318
—,319
Š,320
˜,321
‰,322
–,323
“,324
˜,325
™,326
‰,327
ˆ,328
—,329
‡,330
—,331
€,332
ˆ,333
›,334
ƒ,335
Ÿ,336
ž,337
ƒ,338
•,339
Œ,340
†,341
›,342
™,343
›,344
Š,345
†,346
‡,347
›,348
˜,349
œ,350
‹,351
“,352
ƒ,353
“,354
™,355
“,356
š,357
ž,358
‚,359
‘,360
Œ,361
„,362
„,363
‚,364
›,365
ž,366
™,367
™,368
ƒ,369
š,370
•,371
›,372
Š,373
›,374
€,375
’,376
‰,377
™,378
ƒ,379
Œ,380
ž,381
•,382
†,383
–,384
Ž,385
‡,386
‰,387
’,388
ž,389
‚,390
‚,391
œ,392
œ,393
š,394
ž,395
ž,396
†,397
™,398
‚,399
›,400
Œ,401
ƒ,402
ƒ,403
œ,404
–,405
Š,406
‰,407
Ÿ,408
‰,409
ˆ,410
Š,411
‚,412
š,413
…,414
—,415
˜,416
‰,417
•,418
š,419
‘,420
ž,421
’,422
Š,423
ƒ,424
…,425
ƒ,426
š,427
‹,428
™,429
’,430
Œ,431
‰,432
‰,433
…,434
š,435
—,436
€,437
“,438
€,439
“,440
™,441
‰,442
”,443
˜,444
“,445
”,446
Š,447
œ,448
˜,449
Š,450
‰,451
ž,452
Œ,453
—,454
•,455
š,456
‰,457
‡,458
“,459
ƒ,460
ž,461
›,462
Š,463
Š,464
‹,465
“,466
œ,467
†,468
„,469
‘,470
’,471
š,472
‘,473
—,474
Š,475
—,476
‹,477
ž,478
ƒ,479
ƒ,480
‰,481
Ž,482
Š,483
˜,484
™,485
–,486
˜,487
–,488
™,489
Ž,490
™,491
‹,492
“,493
™,494
ˆ,495
„,496
˜,497
œ,498
ƒ,499
